ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
8987240;19/10/15;100;Legazpi;Arganzuela;Madrid;28045;Spain;4.038.699.453.191.030;-36.925.947.342.100.800;House;Private room;1;2.0;1;3;Real Bed;25;100;;5;65;2
13727695;20/6/16;100;Delicias;Arganzuela;Madrid;28045;Spain;4.039.966.030.090.570;-3.697.054.274.185.880;House;Private room;2;2.0;1;2;Real Bed;20;90;5;0;;4
7428536;12/7/15;100;Delicias;Arganzuela;Madrid;28045;Spain;4.039.970.645.844.790;-36.871.246.714.188.300;House;Private room;1;1.0;1;1;Real Bed;25;;;16;96;1
6326064;14/10/14;80;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.622.817.107.520;-36.945.856.950.078.900;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;45;90;10;11;85;2
16686992;8/1/17;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.538.367.668.860;-36.927.634.858.093.100;House;Entire home/apt;6;1.0;2;3;Real Bed;80;;15;17;99;1
13328359;25/7/15;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.567.694.797.520;-36.934.750.550.577.400;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;43;;;3;87;2
7470638;5/11/14;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.631.117.904.880;-3.693.606.834.324.330;House;Private room;2;1.0;1;2;Real Bed;60;;;14;86;1
7194200;18/9/12;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.657.473.360.180;-36.942.517.104.715.200;Apartment;Private room;2;1.0;1;1;Real Bed;42;;;50;98;1
11013160;15/2/13;90;Palos de Moguer;Arganzuela;Madrid;28045;Spain;40.401.583.045.284.200;-36.915.129.246.154.600;Apartment;Private room;2;1.0;1;1;Real Bed;23;200;10;4;80;1
1014778;23/3/13;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;40.401.753.749.920.100;-3.691.091.060.971.590;Apartment;Entire home/apt;6;1.0;2;4;Real Bed;80;150;;22;91;2
16701828;9/1/17;80;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.701.369.084.490;-3.693.506.349.039.230;Apartment;Private room;2;1.0;1;1;Real Bed;26;;8;1;100;1
14434928;5/1/11;100;Palos de Moguer;Arganzuela;Madrid;28045;Spain;4.040.607.620.482.830;-3.692.199.306.541.840;Apartment;Entire home/apt;4;1.0;2;3;Real Bed;90;100;30;19;91;8
6012894;7/4/15;50;Sol;Centro;Madrid;28013;Spain;40.418.670.188.817.900;-37.010.754.082.033.300;Apartment;Private room;2;5.0;1;1;Real Bed;33;200;;1;80;38
10854277;13/6/15;100;Sol;Centro;Madrid;28013;Spain;4.041.983.129.353.840;-37.020.839.220.318.900;Apartment;Entire home/apt;6;2.0;2;3;Real Bed;125;;;2;100;13
1160920;13/5/13;100;Sol;Centro;Madrid;28013;Spain;404.188.477.626.589;-37.037.661.621.150.200;Apartment;Entire home/apt;4;2.0;2;2;Real Bed;91;200;40;117;88;2
11155252;8/8/15;100;Sol;Centro;Madrid;;Spain;40.415.842.512.124.400;-37.036.334.843.285.100;Apartment;Entire home/apt;6;1.0;2;3;Real Bed;95;200;40;75;94;10
10694787;5/1/13;100;Sol;Centro;Madrid;28012;Spain;4.041.721.971.292.660;-3.705.859.610.069.270;House;Private room;2;1.0;1;1;Real Bed;31;;5;15;93;1
7972944;8/9/13;100;Sol;Centro;Madrid;28013;Spain;4.041.891.559.936.410;-37.007.373.587.092.600;Apartment;Entire home/apt;3;1.0;1;2;Real Bed;55;200;8;106;88;9
6680563;11/4/13;100;Sol;Centro;Madrid;28013;Spain;4.041.767.947.824.260;-3.707.564.456.966.550;House;Private room;2;1.0;1;1;Real Bed;29;;20;39;97;1
924876;7/2/12;100;Sol;Centro;Madrid;28013;Spain;4.041.734.192.833.670;-3.704.019.908.696.900;Apartment;Entire home/apt;5;1.0;2;3;Real Bed;85;100;40;102;92;4
5999158;7/4/15;50;Sol;Centro;Madrid;28013;Spain;40.418.949.963.855.000;-37.013.729.779.142.300;Apartment;Private room;1;5.0;1;1;Real Bed;22;200;;1;80;38
723357;25/9/12;100;Sol;Centro;Madrid;28013;Spain;4.041.905.665.549.780;-37.068.771.009.050.400;Apartment;Private room;4;1.0;1;3;Real Bed;85;;20;1;89;1
16084554;17/4/15;;Imperial;Arganzuela;Madrid;28005;Spain;4.041.325.700.388.280;-37.216.369.128.119.200;Apartment;Private room;1;1.0;1;1;Real Bed;20;;20;0;;1
6856706;20/11/13;;Imperial;Arganzuela;Madrid;28005;Spain;404.083.053.642.543;-37.214.893.954.573.900;Apartment;Entire home/apt;4;1.0;2;2;Real Bed;49;;20;2;50;1
11433680;30/6/15;100;Acacias;Arganzuela;Madrid;28012;Spain;40.403.648.791.379.600;-37.034.513.880.602.600;Apartment;Entire home/apt;4;1.0;2;2;Real Bed;72;;25;28;98;1
8666776;1/10/15;100;Acacias;Arganzuela;Madrid;28005;Spain;40.403.846.512.082.200;-3.705.090.440.194.650;Apartment;Private room;2;1.0;1;2;Real Bed;22;100;10;31;97;1
7185251;6/7/15;;Acacias;Arganzuela;Madrid;28005;Spain;4.040.428.971.388.300;-37.105.252.580.025.800;House;Private room;2;1.0;1;1;Real Bed;40;;;4;95;1
18094170;13/7/13;100;Acacias;Arganzuela;Madrid;;Spain;40.402.331.100.001.700;-37.036.252.603.361.500;Apartment;Private room;2;1.0;1;2;Real Bed;30;;15;0;;2
12867530;28/4/16;100;Justicia;Centro;Madrid;28004;Spain;4.042.168.457.089.740;-36.982.498.121.433.300;Apartment;Private room;2;2.0;1;1;Real Bed;80;;;8;98;2
5752320;20/3/15;100;Justicia;Centro;Madrid;28004;Spain;4.042.132.387.832.860;-3.698.861.806.493.570;Apartment;Private room;2;2.0;1;1;Real Bed;33;150;10;112;89;5
930317;8/2/13;100;Justicia;Centro;Madrid;28004;Spain;40.425.371.343.288.600;-3.696.377.871.887.750;Apartment;Private room;2;1.0;1;1;Real Bed;34;;;75;97;2
11194812;23/1/16;100;Justicia;Centro;Madrid;28004;Spain;4.042.208.177.261.910;-36.964.034.643.365.900;Apartment;Entire home/apt;6;1.0;2;4;Real Bed;120;;;4;95;15
14085661;26/1/16;96;Justicia;Centro;Madrid;28004;Spain;4.041.954.648.634.320;-3.698.597.568.736.310;Apartment;Private room;3;1.0;1;2;Real Bed;35;;;59;94;2
9793892;17/6/14;;Justicia;Centro;Madrid;28004;Spain;4.041.994.711.815.740;-36.998.837.730.829.800;Apartment;Private room;1;1.0;1;1;Real Bed;40;;10;3;93;2
6517520;8/5/15;100;Justicia;Centro;Madrid;28004;Spain;40.421.149.485.905.700;-36.990.329.463.436.300;Apartment;Entire home/apt;4;2.0;2;3;Real Bed;80;;10;6;93;1
16345042;8/12/16;100;Justicia;Centro;Madrid;28004;Spain;4.042.654.567.756.370;-3.694.871.195.608.630;Apartment;Entire home/apt;4;2.5;2;3;Real Bed;140;300;70;0;;2
12512615;8/4/16;100;Justicia;Centro;Madrid;28004;Spain;4.042.093.683.495.080;-36.993.118.052.027.300;House;Entire home/apt;4;1.0;1;1;Real Bed;59;100;30;36;93;3
1041653;2/4/13;100;Justicia;Centro;Madrid;28004;Spain;40.422.628.260.241.500;-36.955.190.818.105.500;Loft;Entire home/apt;3;1.0;1;1;Real Bed;95;200;20;9;83;1
3855044;24/10/11;100;Justicia;Centro;Madrid;28004;Spain;404.248.192.030.268;-36.960.468.766.407.700;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;95;200;40;20;93;1
